home_score,away_score,home_team,away_team,date,win_score,lost_score
10,2,Minnesota,Grinnell,1894-10-20T00:00:00.000Z,10,2
72,0,Penn State,Lafayette,1894-10-20T00:00:00.000Z,72,0
36,0,Purdue,Armour,1894-10-20T00:00:00.000Z,36,0
0,30,Chicago,Wisconsin,1894-10-20T00:00:00.000Z,30,0
40,6,Michigan,Michigan Military Academy,1894-10-21T00:00:00.000Z,40,6
46,0,Michigan,Adrian,1894-10-24T00:00:00.000Z,46,0
22,6,Northwestern,Evanston High,1894-10-24T00:00:00.000Z,22,6
12,8,Northwestern,Lake Forest,1894-10-26T00:00:00.000Z,12,8
14,6,Pennsylvania,Virginia,1894-10-26T00:00:00.000Z,14,6
16,4,Chicago A.C.,Wisconsin,1894-10-27T00:00:00.000Z,16,4
18,18,Iowa,Chicago,1894-10-27T00:00:00.000Z,18,18
24,0,Minnesota,Purdue,1894-10-27T00:00:00.000Z,24,0
0,12,Navy,Pennsylvania,1894-10-27T00:00:00.000Z,12,0
5,12,Army,Yale,1894-10-27T00:00:00.000Z,12,5
8,18,Case,Michigan,1894-10-28T00:00:00.000Z,18,8
44,0,Wisconsin,Iowa,1894-10-29T00:00:00.000Z,44,0
24,6,Lehigh,North Carolina,1894-10-31T00:00:00.000Z,24,6
30,0,Army,Union (NY),1894-11-03T00:00:00.000Z,30,0
