home_score,away_score,home_team,away_team,date,win_score,lost_score
52,6,Wisconsin,Beloit College,1902-10-18T00:00:00.000Z,52,6
17,15,Cornell College (IA),Iowa State,1902-10-25T00:00:00.000Z,17,15
86,0,Michigan,Ohio State,1902-10-25T00:00:00.000Z,86,0
10,17,VMI,North Carolina,1902-11-01T00:00:00.000Z,17,10
26,17,Syracuse,Williams,1902-11-01T00:00:00.000Z,26,17
33,12,Vanderbilt,Washington (MO),1902-11-01T00:00:00.000Z,33,12
102,0,Minnesota,Grinnell,1902-11-01T00:00:00.000Z,102,0
6,29,Colorado State,Colorado College,1902-11-04T00:00:00.000Z,29,6
107,0,Michigan,Iowa,1902-11-08T00:00:00.000Z,107,0
0,73,Greer,Purdue,1902-11-08T00:00:00.000Z,73,0
5,27,LSU,Vanderbilt,1902-11-17T00:00:00.000Z,27,5
87,0,Purdue,Butler,1902-11-22T00:00:00.000Z,87,0
50,5,Virginia Tech,VMI,1902-11-27T00:00:00.000Z,50,5
45,5,Illinois,Englewood High,1903-09-19T00:00:00.000Z,45,5
112,0,Minnesota,Macalester,1903-09-30T00:00:00.000Z,112,0
5,38,Chilocco,Oklahoma,1903-10-03T00:00:00.000Z,38,5
40,7,Wisconsin,Lawrence,1903-10-10T00:00:00.000Z,40,7
75,0,Minnesota,Iowa,1903-10-17T00:00:00.000Z,75,0
18,2,Purdue,Oberlin,1903-10-24T00:00:00.000Z,18,2
5,8,Colorado College,Colorado State,1903-11-03T00:00:00.000Z,8,5
35,2,Iowa,Simpson College,1903-11-06T00:00:00.000Z,35,2
6,41,Grinnell,Iowa State,1903-11-07T00:00:00.000Z,41,6
33,5,Nebraska,Knox College,1903-11-07T00:00:00.000Z,33,5
29,12,South Carolina,Davidson,1903-11-08T00:00:00.000Z,29,12
31,6,Colorado,Colorado College,1903-11-14T00:00:00.000Z,31,6
41,0,Vanderbilt,Washington (MO),1903-11-14T00:00:00.000Z,41,0
23,11,Washington (MO),Cincinnati,1903-11-21T00:00:00.000Z,23,11
22,13,Georgia,Auburn,1903-11-26T00:00:00.000Z,22,13
2,12,Washington (MO),Iowa,1903-11-26T00:00:00.000Z,12,2
16,17,Ohio State,Indiana,1903-11-28T00:00:00.000Z,17,16
77,0,Minnesota,South Dakota,1904-09-24T00:00:00.000Z,77,0
33,2,Iowa,Augustana (South Dakota),1904-09-27T00:00:00.000Z,33,2
23,2,Illinois,Wabash College,1904-09-28T00:00:00.000Z,23,2
11,28,Earlham,Purdue,1904-10-01T00:00:00.000Z,28,11
95,0,Michigan,Kalamazoo,1904-10-08T00:00:00.000Z,95,0
